cumulative_deformation,cumulative_energy
0.0000,0.0000
0.5168,8.1706
0.5255,8.4416
0.8773,13.9516
1.5232,21.2585
1.5312,21.4426
2.0531,27.1723
2.4739,33.3223
2.7849,37.7360
3.3739,44.4472
3.3763,44.5026
4.1198,52.7144
5.3593,69.8574
5.3649,70.0150
6.3155,83.4540
7.1103,97.9136
7.1133,98.0231
7.6654,107.9442
9.0116,127.8400
10.0846,143.8636
11.3186,170.4899
11.3672,172.5748
12.1991,190.3104
14.9930,246.6388
15.0387,248.4678
16.9432,286.1783
18.3780,312.5266
19.0689,325.0884
21.8126,378.9864
23.7493,417.2851
25.7290,460.0098
25.7294,460.0274
26.7461,481.2413
30.2595,553.4549
31.3192,594.9708
33.8083,642.4482
36.6579,700.0676
37.6724,720.5745
41.9969,797.7898
42.0393,799.2672
44.5804,842.2789
47.6712,907.3099
48.4488,939.0243
49.9302,968.6346
55.8714,1072.5288
56.0453,1078.5152
59.0065,1128.8331
63.1909,1205.9636
63.2543,1208.2944
64.7787,1236.1781
70.2893,1326.3817
70.4091,1330.2930
73.1732,1375.9146
78.2622,1470.9481
78.4294,1477.2279
80.3508,1513.5011
87.3851,1627.6803
87.6398,1635.9234
90.9023,1687.8818
96.7638,1789.1325
96.8062,1790.5869
98.7777,1823.5706
105.9707,1934.7188
106.0944,1938.4181
109.1259,1984.1578
116.0319,2098.8119
116.3631,2109.8500
118.6275,2146.4388
127.2829,2272.2711
127.8868,2289.4057
131.0365,2334.6572
139.3656,2465.5891
139.5228,2470.5616
142.0227,2509.4714
151.0036,2631.3982
151.1162,2634.4374
154.4047,2677.8965
164.3789,2841.5441
164.8347,2856.0419
168.2903,2910.1347
179.4483,3058.7218
180.4978,3086.1722
184.5201,3136.9682
196.1108,3310.9653
196.2368,3314.6520
200.2679,3373.9065
211.6074,3517.8714
211.7745,3522.1293
216.1905,3578.9713
228.6853,3755.1773
229.0868,3766.4078
233.9242,3831.6186
247.0049,3998.8206
247.9414,4022.2090
253.2559,4087.8565
265.7726,4249.4169
266.7274,4273.4759
271.3935,4330.4338
284.8850,4490.2288
285.1593,4496.6755
290.8495,4564.5766
305.1657,4732.7800
309.6415,4785.8593
325.4436,4962.7995
326.5641,4987.3841
333.4829,5062.1512
347.7483,5211.9204
347.8365,5213.7306
352.4399,5260.1903
368.4047,5416.3709
368.7735,5423.5619
375.4840,5488.4179
391.3771,5641.3927
393.0822,5674.1301
398.1104,5721.5609
414.7010,5871.1663
420.5975,5971.7318
428.2920,6034.6127
447.7480,6183.2175
448.2491,6190.7507
452.5128,6221.8918
473.2674,6388.0407
475.7289,6425.2225
482.3560,6472.9062
505.8295,6633.2288
506.4197,6640.8514
510.2780,6664.7173
536.9261,6829.4297
541.0299,6878.8808
547.6783,6917.8304
574.9804,7055.9208
578.7020,7074.8500
604.3420,7189.4360
611.6179,7235.8743
