Fh [kN],u [mm],time [s]
0,0,0
31.62,0.516802241,20
30.55,0.525519361,22
0.7747,0.173718357,35
-23.35,-0.472186457,56
-22.6,-0.480200021,57
0.6831,0.04170142,75
28.55,0.462463206,90
-0.1721,0.15142452,101
-22.62,-0.437486564,119
-22.34,-0.439948727,120
0.2549,0.303505301,167
-27.91,-0.936064689,252
-28.4,-0.930467043,253
0.1247,0.020074737,320
36.26,0.814895579,375
35.75,0.817936504,377
0.1935,0.265899573,420
-29.75,-1.080277469,507
-0.1169,-0.007275849,584
43.27,1.226744048,666
42.46,1.275382621,688
0.1794,0.443493121,736
-40.5,-2.350421413,904
-39.54,-2.396122461,909
-0.06172,-0.49163465,1037
36.79,0.943130533,1135
-0.4391,0.252187493,1153
-38.85,-2.491471671,1218
-0.6992,-0.554710014,1244
43.84,1.424995862,1273
42.19,1.425404861,1274
-0.4677,0.408745722,1287
-40.64,-3.104637356,1328
-37.71,-4.1643922,1335
-0.4385,-1.675306201,1359
40.87,1.174258681,1394
-0.4505,0.159800342,1406
-35.26,-4.164712258,1452
-34.33,-4.207173763,1453
0.4906,-1.666104739,1480
41.59,1.424677525,1516
39.98,2.202277246,1524
-0.00391,0.720875575,1539
-34.97,-5.220365976,1599
-33.87,-5.394288596,1601
-0.1148,-2.433092395,1629
36.98,1.751291574,1674
36.6,1.8146441,1675
-0.01823,0.29018656,1692
-32.72,-5.220410983,1748
-32.59,-5.340186814,1749
-0.4208,-2.576140417,1769
37.76,2.512872791,1804
37.33,2.680132631,1805
0.4273,0.758745717,1818
-32.88,-6.275531508,1864
-31.84,-6.530263267,1866
-0.0125,-3.267825996,1887
34.56,2.593707099,1926
33.96,2.636160196,1927
-0.5146,0.664674451,1940
-30.39,-6.528312002,1986
-29.45,-6.651952547,1987
-0.7263,-3.620457592,2002
33.9,3.285550059,2035
32.75,3.616775238,2037
-0.4461,1.35232676,2047
-28.63,-7.303051253,2087
-28.12,-7.906913687,2090
-0.6133,-4.75715582,2104
32.03,3.571916679,2142
31.25,3.7290748,2143
-0.1224,1.229132842,2155
-27.03,-7.751786173,2196
-26.99,-7.864310253,2197
0.5839,-4.575801103,2210
32.23,5.398484156,2245
31.39,5.854247419,2247
-0.08333,2.398622132,2259
-26.55,-8.759357599,2299
-25.76,-9.808885616,2303
0.5237,-5.786579408,2318
29.5,5.804072302,2358
29.03,5.930047558,2359
0.3688,1.898963494,2373
-25.75,-9.440598226,2414
-25.23,-9.607640105,2415
-0.5133,-5.191583306,2430
28.7,7.303202171,2466
27.24,7.704719983,2468
-0.2846,2.867352116,2482
-25.28,-10.21338903,2522
-24.67,-11.14986413,2525
-0.0349,-5.835332298,2542
25.85,6.681354434,2579
24.55,7.636077886,2582
-0.1383,2.969930096,2596
-23.55,-10.5215425,2638
-23.45,-10.79586828,2639
-0.4159,-5.105649296,2656
23.9,9.210555415,2693
-0.1846,4.734737469,2705
-22.21,-11.06730886,2748
-21.67,-12.18784639,2751
0.05755,-5.269058288,2772
20.94,8.996344755,2810
20.11,9.084541405,2811
0.075,4.481156517,2824
-19.64,-11.48368685,2868
-19.36,-11.85245388,2869
0.03047,-5.141923811,2886
19.22,10.75117574,2923
19.18,12.45624743,2927
-0.325,7.428029272,2939
-17.71,-9.162531358,2979
-16.4,-15.05907463,2993
0.05599,-7.364585643,3013
15.22,12.09141232,3059
14.85,12.59245567,3061
-0.2508,8.328748824,3072
-15.76,-12.42585223,3122
-14.45,-14.88741262,3128
0.0599,-8.260358435,3143
13.6,15.21311628,3188
12.23,15.80332587,3190
0.1411,11.94499091,3198
-12.5,-14.70307504,3249
-11.6,-18.80690618,3257
-0.1169,-12.15846316,3271
10.23,15.14362539,3324
-0.05807,11.42201689,3332
-8.88,-14.21796333,3381
-3.885,-21.49384797,3391
